-86.30715101,41.68912283,2047,ENV-15-00310,Environmental,Litter,5/1/2015,Closed,8/4/2015,71-08-04-177-001.000-026,1134,N,CANTERBURY,Dr,1134 N CANTERBURY DR,SOUTH BEND,IN,46628
-86.28246375,41.68867673,2049,ENV-15-00312,Environmental,Litter,5/2/2015,Closed,6/5/2015,71-08-03-256-005.000-026,1040,,ELMER,St,1040 ELMER ST,SOUTH BEND,IN,46628
-86.28129135,41.68826393,2050,ENV-15-00313,Environmental,Litter,5/2/2015,Closed,5/12/2015,71-08-03-256-011.000-026,1041,N,HUEY,St,1041 N HUEY ST,SOUTH BEND,IN,46628
-86.27879371,41.68761018,2051,ENV-15-00314,Environmental,Litter,5/2/2015,Closed,5/12/2015,71-08-03-280-013.000-026,1002,,JOHNSON,St,1002 JOHNSON ST,SOUTH BEND,IN,46628
-86.2788042,41.68806124,2052,ENV-15-00315,Environmental,Litter,5/2/2015,Closed,5/15/2015,71-08-03-280-009.000-026,1014,,JOHNSON,St,1014 JOHNSON ST,SOUTH BEND,IN,46628
-86.26819705,41.68374608,2059,ENV-15-00322,Environmental,Litter,5/4/2015,Closed,8/4/2015,71-08-02-330-037.000-026,1219,,LINCOLNWAY,,1219 LINCOLNWAY,SOUTH BEND,IN,46628
-86.28607355,41.69213124,2062,ENV-15-00325,Environmental,Grass and Weeds,5/4/2015,No Violation,7/23/2015,71-08-03-132-002.000-026,1250,N,MEADE,St,1250 N MEADE ST,SOUTH BEND,IN,46628
-86.29155149,41.68736775,2087,ENV-15-00349,Environmental,Litter,5/5/2015,Closed,7/31/2015,71-08-03-153-018.000-026,3005,,HARTZER,St,3005 HARTZER ST,SOUTH BEND,IN,46628
-86.28351407,41.6814609,2092,ENV-15-00354,Environmental,Litter,5/5/2015,Closed,8/4/2015,71-08-03-453-001.000-026,422,N,OLIVE,St,422 N OLIVE ST,SOUTH BEND,IN,46628
-86.27993359,41.68398075,2095,ENV-15-00357,Environmental,Litter,5/5/2015,Closed,8/4/2015,71-08-03-411-012.000-026,702,,OBRIEN,St,702 OBRIEN ST,SOUTH BEND,IN,46628
-86.2787972,41.68322899,2096,ENV-15-00358,Environmental,Litter,5/5/2015,Closed,8/3/2015,71-08-03-413-011.000-026,619,,JOHNSON,St,619 JOHNSON ST,SOUTH BEND,IN,46628
-86.2814262,41.68345727,2098,ENV-15-00360,Environmental,Litter,5/5/2015,Closed,8/4/2015,71-08-03-409-025.000-026,2221,W,LONGLEY,Ave,2221 W LONGLEY AVE,SOUTH BEND,IN,46628
-86.28510966,41.68557285,2099,ENV-15-00361,Environmental,Litter,5/5/2015,Closed,8/4/2015,71-08-03-329-009.000-026,2434,,FREDRICKSON,St,2434 FREDRICKSON ST,SOUTH BEND,IN,46628
-86.28627052,41.68555304,2101,ENV-15-00363,Environmental,Litter,5/5/2015,Closed,8/12/2015,71-08-03-329-001.000-026,2530,,FREDRICKSON,St,2530 FREDRICKSON ST,SOUTH BEND,IN,46628
-86.28260173,41.6926583,2110,ENV-15-00372,Environmental,Litter,5/5/2015,Closed,5/28/2015,71-08-03-201-032.000-026,1325,,ELMER,St,1325 ELMER ST,SOUTH BEND,IN,46628
-86.27410988,41.69657349,2116,ENV-15-00378,Environmental,Litter,5/6/2015,Closed,6/1/2015,71-03-35-353-002.000-026,1618,N,WILBER,St,1618 N WILBER ST,SOUTH BEND,IN,46628
-86.27410988,41.69657349,2117,ENV-15-00379,Environmental,Grass and Weeds,5/6/2015,Closed,6/1/2015,71-03-35-353-002.000-026,1618,N,WILBER,St,1618 N WILBER ST,SOUTH BEND,IN,46628
-86.27791724,41.69885978,2119,ENV-15-00381,Environmental,Litter,5/6/2015,Closed,6/1/2015,71-03-34-430-019.000-026,1745,N,BROOKFIELD,St,1745 N BROOKFIELD ST,SOUTH BEND,IN,46628
-86.27784381,41.69816047,2122,ENV-15-00384,Environmental,Litter,5/6/2015,Closed,6/1/2015,71-03-34-431-008.000-026,1722,N,BROOKFIELD,St,1722 N BROOKFIELD ST,SOUTH BEND,IN,46628
-86.36397465,41.71951624,2123,ENV-15-00384,Environmental,Litter,5/6/2015,Closed,6/1/2015,71-03-34-431-008.000-026,1722,N,Brookfield,St,,South Bend,Indiana,46628
-86.27790791,41.69783995,2128,ENV-15-00387,Environmental,Grass and Weeds,5/6/2015,Closed,8/11/2015,71-03-34-430-028.000-026,1709,N,BROOKFIELD,St,1709 N BROOKFIELD ST,SOUTH BEND,IN,46628
-86.27791724,41.69828985,2129,ENV-15-00388,Environmental,Grass and Weeds,5/6/2015,Closed,6/1/2015,71-03-34-430-024.000-026,1725,N,BROOKFIELD,St,1725 N BROOKFIELD ST,SOUTH BEND,IN,46628
-86.36397465,41.71951624,2130,ENV-15-00388,Environmental,Grass and Weeds,5/6/2015,Closed,6/1/2015,71-03-34-430-024.000-026,1725,N,Brookfield,St,,South Bend,Indiana,46628
-86.27789742,41.69669075,2131,ENV-15-00389,Environmental,Grass and Weeds,5/6/2015,Closed,6/1/2015,71-03-34-476-022.000-026,1633,N,BROOKFIELD,St,1633 N BROOKFIELD ST,SOUTH BEND,IN,46628
-86.36397465,41.71951624,2132,ENV-15-00389,Environmental,Grass and Weeds,5/6/2015,Closed,6/1/2015,71-03-34-476-022.000-026,1633,N,Brookfield,St,,South Bend,Indiana,46628
-86.27789742,41.69658003,2133,ENV-15-00390,Environmental,Grass and Weeds,5/6/2015,Closed,6/1/2015,71-03-34-476-023.000-026,1629,N,BROOKFIELD,St,1629 N BROOKFIELD ST,SOUTH BEND,IN,46628
-86.36397465,41.71951624,2134,ENV-15-00390,Environmental,Grass and Weeds,5/6/2015,Closed,6/1/2015,71-03-34-476-023.000-026,1629,N,Brookfield,St,,South Bend,Indiana,46628
-86.26634935,41.69622704,2157,ENV-15-00403,Environmental,Grass and Weeds,5/6/2015,Closed,5/29/2015,71-03-35-381-007.000-026,1114,W,QUEEN,St,1114 W QUEEN ST,SOUTH BEND,IN,46628
